Id,Theme,Title,Description,Data,Version,Author (& affliation) /Year/...,Thumbnails,Embed Link,Live/Public Facing Link(s)
1,Actors,Peace Agreement Signatory Dashboard,A network dashboard template that maps out actor's involvement in peace and transition processes.,Peace Agreement Actor Dataset (PAA-X),"United Kingdom, United Nations, Russia, China, Qatar","Jinrui Wang, Niamh Henry, Benjamin Bach",peace-agreement-signatory-dashboard.png,https://peacerep.github.io/actor-network/country/UKG;,
2,NLP,Implementation Narratives + Interface,Tracks implementation records in accordance with peace agreement provisions by topics.,PAX + Implementation Reports,"PAX manual codes, Auto tagging topics","Roy Gardner, Jinrui Wang, Niamh Henry",implementation-narrative.png,https://implementation-narratives.onrender.com,"On South Sudan, Ukraine and PHL Trackers: https://pax.peaceagreements.org/tracker/south-sudan/narrative-implementation"
3,PA-X,PA-X Local Agreements Map,"A map visualizes all agreements that deal in some way with local issues, involve local actors, and deal with forms of local/communal violent conflict.",PAX Local,v7 data for pax local,"Tomas Vancisin, Niamh Henry",pax-local.png,https://tvancisin.github.io/local_agreements/,
4,Mediation,Sudan Mediation Analysis,GLO-PAD pilot data with Sudan and South Sudan visualisations.,GLO-PAD,,"Tomas Vancisin, Mateja Peter, Niamh Henry",south-sudan-mediation.png,https://south-sudan-mediation.onrender.com/,
5,Actors,Third Party in Peace Agreements Storytelling,"Scrollytelling application of Practical Third Party data. Includes involvement over time, by stage, space and with who.",Practical Third Party Signatories data (PAA-X Subset),v7 Practical Third Parties,"Tomas Vancisin, Mateja Peter, Niamh Henry",third-party-story.png,https://tvancisin.github.io/peace_scroll/#,
6,Tracker,Live process map (PAX Tracker Landing Page),Globe as alternative entry point to tracker. Idea is to get a world snapshot of how things are going in terms of conflict levels and ongoing processes,PAX/Tracker data,prototype,"Tomas Vancisin, Niamh Henry",placeholder.png,https://conflict-and-peace.onrender.com/,https://tvancisin.github.io/peaceRep_land_page/
7,Actors,Peace Agreement Signatories Network Analysis,A deep dive into presence of absence of signatories in peace agreements using network analysis methodologies.,Peace Agreement Actor Dataset (PAA-X),prototype using v7 PAA-X,Roy Gardner,placeholder.png,https://agreements-actors-jm3mmkozifmylnrtgjy4nb.streamlit.app/,https://peacerep.org/signatories-network-analysis/
8,NLP,Semantic Mapping: Peace Agreements — Constitutions,An analysis of how peace agreements influence subsequent constitutions using semantic mapping of similar provisions in their later consititutions.,PAX,PoC done and on PeaceRep Lab,Roy Gardner,semantic-mapping-constitutions.png,https://peacerep.github.io/agreement-constitution-mapping/index.html,https://peacerep.org/mapping-agreement-provisions-onto-constitution-texts/
9,Tracker,Ukraine Map,"""Our visualization of Ukraine conflict maps presents a comprehensive amalgamation of intricate data sourced from different portals. - Conflict violence data from ACLED, each dot depicts a record of battles, explosions/remote violence, protests, riots, strategic developments and violence against civilians - Deaths data from UCDP, covering deaths from state-based conflict, non-state conflict and one-sided conflict. - Ethnic makeup data from EPR, contributing critical context to the conflict. - Power Plants locations from global power plant database and OECD - Humanitarian corridors from research by PeaceRep and partners Together, these multi-faceted layers provide a rich and detailed representation of the complex dynamics and human impact of the Russian-Ukraine War.""","ACLED, UCDP, Humanitarian Corridors, Power Plants, Ethic Make Up",,"Sarah Schöttler, Benjamin Bach (UoE) , 2022 | Niamh Henry",ukraine-map.png,https://peacerep.github.io/ukraine-map/,https://pax.peaceagreements.org/tracker/ukraine/map
10,Tracker - timelines,Timelines of Institutional Change,"Interactive timelines to illustrate the formal change process in a selected country, including: peace agreements, local agreements, constitutional events, amnesties, elections, coups & other relevant events","PA-X, colpus, constitute, NELDA, other election data",v8 agreements added,"Niamh Henry, Sanja Badanjak, Christine Bell",tracker-timeline.png,,https://www.peaceagreements.org/tracker/afghanistan/timeline/
11,Tracker - process,Process Overview Dashboard,"Interactive data report/dashboard to provide a snapshot of high-level process data from PA-X - can see for all of PA-X or select specific countries or processes, or types of agreements. Can see number of agreements, types of agreements, the stage they were introduced, a timeline of agreements and a snapshot look at the key issues addressed in the agreement contents.",PA-X V8,,,tracker-process-overview.png,,https://www.peaceagreements.org/tracker/all/process/
12,Tracker - Peace Impacts,Peace Impacts Dashboard(s),"Interactive data report/dashboard to provide insights into the impacts the process has had on the general experiences in the country, across conflict, security, political, economic and humanitarian data indicators.",PA-X V8 and all postgres data,v8 agreements added,,tracker-impact.png,,https://www.peaceagreements.org/tracker/all/impacts/
13,Tracker - actors,Agreement - Actor Networks,"Interactive agreement-actor networks where nodes can be actors or agreements, and connected if they were a party or third party signatory to an agreement. When click on an agreement can see information on it and a link to the full text as well as highlight all who signs it. When click an actor can see information on them, and a list of agreements they are signatories to.",PAA-X,v7 country level,Niamh Henry,tracker-actor-network.png,All urls are in this file: https://uoe-my.sharepoint.com/:x:/g/personal/nhenry2_ed_ac_uk/EUfFeMrYHzZMhoFZZmXuHO0BBn7iPmCZqNuvT7xeZeTERQ?e=V3G2fQ,See a tracker country profile
14,Tracker - local data,South Sudan Perceptions of Peace Survey,"This interactive data report presents insights and key findings from a longitudinal survey on Perceptions of Peace in South Sudan by PeaceRep, Detcro, USIP and partners. The four-wave survey collection recorded the views of 13,326 respondents across 29 locations in South Sudan (covering 15 ADM2 areas and 9 ADM1 areas). Respondents were asked questions about their daily experiences of safety based on indicators of ‘everyday peace’ developed through focus groups. They also shared their views on a wide range of related topics, including levels and perceptions of peace in South Sudan, and their views on elections, governance arrangements, security arrangements, trust in public authorities, civic space, national identity, and social cohesion, among others.",SSD Surveys,wave 4,"Niamh Henry, Jan Pospisil and Partners",south-sudan-survey.png,https://www.peaceagreements.org/tracker/south-sudan/local-case-study/,https://peacerep.org/perceptions-peace-south-sudan/
15,PA-X,Children and Youth in Peace Agreements,"This interactive data report presents references to children and/or youth in peace agreements signed between 1990 and 2022. This dataset has drawn on 348 peace agreements in PA-X, which code for general references to children and/or youth. Using this data, the Children and Youth in Peace Agreements dataset further codes these provisions into specific topics. Coded topics include child soldiers, children’s rights, children and transitional justice, children and third-party actors and children and references to their inclusion, protection and provision.",subset of PA-X that has been expanded,v6,"Sean Molloy, Niamh",children-youth.png,https://app.powerbi.com/view?r=eyJrIjoiYjNmNjljZWMtODcxMy00OWE0LThhY2QtOWVmMDUyZjk4ZjI0IiwidCI6IjJlOWYwNmIwLTE2NjktNDU4OS04Nzg5LTEwYTA2OTM0ZGM2MSIsImMiOjh9,https://peacerep.org/children-and-youth-database/
16,PA-X - Tracker,PA-X Data Report(s),Have done initial v8 data report but always a goal to do automated reports of the tracker data/pax data if want to generate report on topics etc,PA-X,v8,PA-X Team,placeholder.png,,
17,Tracker - Mapping,Dialogue Mapping - Ukraine,"Over the course of the conflict there have been a number of published proposals for peace, from external countries or groups of country, and also some forms of agreement reached that include Ukraine and Russia, with respect to dimensions of the conflict. Based on Cindy Wittke's work on ‘Islands of civility' [see report] we set out the agreements and proposals, to explore: (a) what topics they deal with (b) where there is overlap in topics (c) who has signed agreements that deal with dimensions of the conflict, where agreement has been reached. The tool also provides a short narrative of each talk topic or agreement, and easy access to the relevant documents and basic background information.",Research report,,Christine/Niamh,ukraine-russia-dialogues-issues.png,https://kumu.io/peacerep/islands-of-civility-russia-war-against-ukraine#islands-of-civility-and-agreement-in-russias-war-against-ukraine,
18,Actors,Practical Third Parties Dashboard,Have subset of PAA-X data that looks at practical/de-facto third parties. Have made a dashboard to explore the data by actor or process and see overall trends.,Practical Third Party Signatories data (PAA-X Subset),v7 Practical Third Parties,,practical-third-party-dashboard.png,https://app.powerbi.com/view?r=eyJrIjoiMjA4NGZjM2EtMjRkOS00YTNkLWE3NTMtYjMzZTIzYWQ1OTg0IiwidCI6IjJlOWYwNmIwLTE2NjktNDU4OS04Nzg5LTEwYTA2OTM0ZGM2MSIsImMiOjh9,
19,Mediation,GLO-PAD dataset 2 visualisation/PeaceTech tool for the dataset,Have done pilot using sudan and south sudan. Dataset 2 will cover many more countries and only cover a smaller temporal period so looking more at month level rather than over years,,,,placeholder.png,,
20,Tracker - Mapping,Dialectiq dialogue mapping,Need to finalise usable outputs from them - last instance was the myanmar questions unsure where to go from here - need to get from IDEA but even with this unsure how useful,,,,placeholder.png,,
23,Vis - PAX,Hierarchy & Continuity in Key Issues,"Explore the diversity of Peace Agreements through time, revealing their coverage and evolution in issues addressed.",,,"Tobias Kauer, Benjamin Bach (UoE), 2019",pax-hierarchy.png,https://peacerep.github.io/hierarchy/,https://pax.peaceagreements.org/visualizations/data-overview-visualization/
24,Vis - PAX,Back and Forth in Peace Negotiations,"Explore the contrast between an ideal peace process and the messy reality, as our data captures the stages of agreements signed.",,,"Tobias Kauer, Benjamin Bach, Tomas (UoE), 2021",messy-timeline.png,https://peacerep.github.io/v7_messy_timeline/,https://pax.peaceagreements.org/visualizations/messy-peace-processes/
25,Vis - PAX,Map Visualising Peace Agreements in Time and Space,Explore peace agreements and the issues they address using an interactive map and timeline.,,,"Lucy, Sarah Schöttler, Benjamin Bach (UoE) , 2019",visualizing-peace-map.png,https://peacerep.github.io/pax-map/,
26,Vis - PAX,Peace Agreement Sequence Comparison across Countries,Explore and compare how different peace agreements in case countries unfold over time. Links to main documents and data.,,,"Lucy Havens, Sarah Schöttler, Benjamin Bach (UoE), 2018",compare-sequences.png,https://peacerep.github.io/compare-sequences/,
27,Vis - PAX,Student Perspectives II: PA-X Dashboards,"These projects were created by students in the Data Science Master’s programme at the Open University of Catalonia, during the 2019-20-S2 semester.",,,,placeholder.png,(PA-X link says ERROR),
28,Vis - PAX,Student Perspectives I: PA-X Dashboards,What can we learn from PA-X data? See how the students at Universitat Oberta de Catalunya used PA-X in their data visualisation assignments.,,,,placeholder.png,(PA-X link says ERROR),
29,Vis - PAX,PA-X Key Themes through Interactive Infographics,(already on peacerep website),,,,old-infographics.png,https://peacerep.org/digital-resources/infographics/,
30,Vis - PAX,Tile Grid Map of Peace Issues,"The Grid map visualisation glimpses into the composition of peace agreements across key issues, types, and negotiation stages.",,,Mar Canet and Dr Jaume Nualart,tile-grid-map.png,https://areav3.surge.sh/,
31,Vis - PAX,Peace Agreement Content Alluvial,Alluvial of mentions is a tracker of 293 categories and issues/sub-issues along the PA-X collection of peace agreements.,,,"Dr Jaume Nualart (UOC), 2020",alluvial-of-mentions.png,https://jaumet.github.io/Alluvial-of-Mentions/,
32,Vis - PAX,Yemen Timeline,"Conflict events & peace and transition documents in Yemen through connected national and local peace initiatives from 1990 onwards, in Arabic /???? or in English.",,,"Tobias Kauer, Benjamin Bach (UoE), 2019",yemen-timeline.png,https://peacerep.github.io/yemen-timeline/,
33,Vis - PAX,Five Ways Peace Process can Support Incusion More Effectively,Illustrated comic of a visual explaination on inclusion peace-building.,,,Serena Fiorini,inclusion-illustrations.png,see attachement (comic.pdf),
34,Vis,Call for Peace Illustrations,"See how conflicts impact children's growth, women's lives, and our daily travel.",,,Serena Fiorini,call-for-peace-illustration.png,see attachement (illustration.pdf),
35,PAX Gender,PA-X Gender Key Insights Story,,,,"Tomas Vancisin, Laura Wise",pax-gender.png,https://pax-gender.onrender.com,https://www.peaceagreements.org/visualizations/gender-vis/
36,PA-X ,Yemen Map,,,,Sarah Schöttler,yemen-map.png,https://peacerep.github.io/yemen-map/,https://www.peaceagreements.org/visualizations/yemen-map/
37,PA-X Gender,Pieces of Peace: Women and Gender in Peace Processes,,,,Roy Gardner,pieces-of-peace.png,,https://peacerep.org/2024/11/22/artistic-perspective-representing-pa-x-gender-through-data-physicalisation/
38,PA-X ,PA-X Chart Explorer,,PA-X,,Niamh Henry,placeholder.png,https://github.com/peacerep/paxplorer/tree/main,
39,Actors,Cluster Demo,,,,Roy Gardner,placeholder.png,https://github.com/peacerep/cluster_demo,
40,Visual,PeaceRep Style Guide,,,,Tomas Vancisin,style-guide.png,https://peacerep.github.io/logos/,
41,Organisation,PeaceRep Github Organisation,,,,Niamh Henry,peacerep-github-org.png,https://github.com/peacerep,
42,Mediation,MEND,,,,"Tomas Vancisin, Mateja Peter",mend-peacehub.png,https://peacehub.st-andrews.ac.uk,
